gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000239697	23.93	25.04	6.89	24.27	15.58	15.94	13.67	22.30
ENSG00000239699	0.03	0.00	0.06	0.00	0.00	0.03	0.00	0.03
ENSG00000239701	0.22	0.32	0.06	0.06	0.14	0.13	0.05	0.52
ENSG00000239704	3.60	7.82	3.24	4.38	1.31	14.47	1.37	7.08
ENSG00000239705	0.00	0.00	0.16	0.05	0.00	0.12	0.00	0.19
ENSG00000239706	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
ENSG00000239710	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00
ENSG00000239713	26.31	50.16	14.79	96.22	46.99	88.35	26.34	68.99
ENSG00000239719	2.09	0.48	0.00	0.00	0.26	0.51	1.20	1.19
ENSG00000239731	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000239732	0.26	1.56	16.63	5.31	2.33	3.06	8.37	0.67
ENSG00000239736	0.03	0.50	0.08	0.00	0.15	0.12	0.00	0.04
ENSG00000239741	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
ENSG00000239742	0.61	0.00	0.11	0.11	0.12	0.12	0.00	0.00
ENSG00000239744	0.00	0.12	0.00	0.12	0.13	0.25	0.00	0.00
ENSG00000239754	10.47	4.24	0.53	4.14	1.96	5.90	1.72	1.36
ENSG00000239756	0.28	0.57	0.41	0.14	0.00	0.78	0.48	0.53
ENSG00000239763	0.06	1.53	2.71	3.46	3.20	1.52	0.59	0.89
ENSG00000239769	0.00	0.11	0.05	0.17	0.07	0.10	0.05	0.07
ENSG00000239774	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
ENSG00000239775	0.55	0.52	1.70	2.69	1.36	1.81	0.15	0.58
ENSG00000239779	30.62	43.00	41.61	49.49	31.16	54.16	34.92	42.29
ENSG00000239783	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
ENSG00000239784	1.12	0.38	0.13	0.92	0.20	0.74	0.07	0.76
ENSG00000239789	10.68	6.56	15.94	6.55	7.97	11.90	10.40	20.79
ENSG00000239791	0.17	0.30	0.48	0.32	0.34	0.23	0.38	0.63
ENSG00000239793	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00
ENSG00000239797	0.00	0.00	0.07	0.00	0.08	0.00	0.00	0.00
ENSG00000239799	0.00	0.26	0.00	0.01	0.00	0.09	0.00	0.09
ENSG00000239801	0.09	0.00	0.09	0.00	0.52	0.20	0.00	0.10
ENSG00000239804	0.00	0.00	0.00	0.00	0.00	0.46	0.12	0.15
ENSG00000239805	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
ENSG00000239808	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13
ENSG00000239810	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00
ENSG00000239815	0.00	0.08	0.00	0.07	0.00	0.00	0.07	0.49
ENSG00000239819	0.49	2.90	2.57	7.53	5.05	0.69	2.51	4.79
ENSG00000239827	1.86	0.27	0.40	0.27	0.30	0.09	0.10	0.06
ENSG00000239828	0.00	0.10	0.00	0.22	0.04	0.00	0.57	0.05
ENSG00000239829	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSG00000239830	1.99	1.03	0.32	0.91	1.04	0.86	1.00	2.18
ENSG00000239831	0.00	0.10	0.10	0.00	0.00	0.00	0.00	0.00
ENSG00000239835	0.07	0.03	0.12	0.02	0.03	0.11	0.02	0.00
